id,title,year,credit,country,state,city,latitude,longitude
2017707133,"Commercial block, Fort Lauderdale, Florida",1990.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Florida,Fort Lauderdale,26.12231,-80.14338
2017704883,"Factory owl head detail (angle), Sir Goony Golf, Chattanooga, Tennessee",1986.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Tennessee,Chattanooga,35.04563,-85.30968
2017711691,"Sky diver ride, Seaside Heights, New Jersey",1978.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,New Jersey,Seaside Heights,39.94429,-74.07291
2017712622,"Bavarian Manor, porch, Purling, New York",1977.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,New York ,Purling,,
2017706690,"Fairgrounds, Great Falls, Montana",1987.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Montana,Great Falls,47.50024,-111.30081
2017711008,"Flanders Hotel, Ocean City, New Jersey",1978.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,New Jersey,Ocean City,39.27762,-74.5746
2017713063,"Swedish meatballs, Menges, Livingston Manor, New York",1978.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,New York ,Livingston Manor,,
2017710471,"Tourist cabins sign, near Harmon, Illinois",1987.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Illinois,near Harmon,,
2017709959,"Wigwam Village #7, Rialto, California",2003.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,California,Rialto,34.1064,-117.37032
2017710414,"Stage Coach Inn, El Paso, Texas",1979.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Texas,El Paso,31.75872,-106.48693
2017709559,"Happy Chef sign, Cherokee, Iowa",1987.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Iowa,Cherokee,42.74943,-95.55167
2017704870,"Pyramid hole, Sir Goony Golf, Chattanooga, Tennessee",1986.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Tennessee,Chattanooga,35.04563,-85.30968
2017709507,,1978.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,New Jersey,,,
2017704737,"Back trap, Jackson Golf World, Route 51, Jackson, Mississippi",1986.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Mississippi,Jackson,32.29876,-90.18481
2017706099,"Fire Department, Columbus, Indiana",1977.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Indiana,Columbus,39.20144,-85.92138
2017709385,"Geronimo's Castle Bar, Bowie, Arizona",1979.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Arizona,Bowie,,
2017703156,"Strand Theater (soda fountain), S. Federal Avenue, Mason City, Iowa",1980.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Iowa,Mason City,43.15357,-93.20104
2017710318,"English Motel, Amarillo, Texas",1977.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Texas,Amarillo,35.222,-101.8313
2017713513,"Scott's bus send off, Deposit, New York",1977.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,New York ,Deposit,,
2017709880,"Queens Court (1948), stair, Kings Way, St. Simons Island, Georgia",1990.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Georgia,St. Simons Island,,
2017712230,"Beach litter rule sign, Wildwood, New Jersey",1978.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,New Jersey,Wildwood,38.99178,-74.81489
2017710578,"Airotel sign, Amarillo, Texas",1982.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Texas,Amarillo,35.222,-101.8313
2017705464,"Overall 2, Hole in One mini golf, Route 1, Waldoboro, Maine",1984.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Maine,Waldoboro,44.09536,-69.3756
2017704385,"Hoyer's ice cream sign, Rt. 9W, West Haverstraw, New York",1980.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,New York ,West Haverstraw,,
2017710194,"Piper Trail Motor Court, Albany, New Hampshire",1984.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,New Hampshire,Albany,43.95785,-71.16757
2017713241,"Mt. Pleasant Lodge, Route 28, Mount Pleasant, New York",1976.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,New York ,Mount Pleasant,,
2017705498,"Hole 2 detail, Stewart Beach mini golf, Galveston, Texas",1986.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Texas,Galveston,29.30135,-94.7977
2017707774,"Parker's Truck Stop sign, Winnemucca, Nevada",1991.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Nevada,Winnemucca,40.97296,-117.73568
2017707873,"Tower Theater, Fresno, California",1987.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,California,Fresno,36.74773,-119.77237
2017702568,"Loyola Theater, tower detail, Manchester & Sepulveda Boulevard, Westchester, California",1977.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,California,Westchester,,
2017705445,"Castle, Blackbeard's mini golf, Fresno, California",1987.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,California,Fresno,36.74773,-119.77237
2017706220,"Northern State Bank (1933?), Second Street, Ashland, Wisconsin",1988.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Wisconsin,Ashland,46.59244,-90.8838
2017706290,"Deals Luggage Store sign, 3rd Street, Macon, Georgia",1982.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Georgia,Macon,32.84069,-83.6324
2017708603,"Magic Forest, Lake George, New York",1996.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,New York ,Lake George,,
2017706926,"Leddy Boots sign, Fort Worth, Texas",1994.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Texas,Fort Worth,32.72541,-97.32085
